ref,tst,blur_difference,epsnr,noise_difference,psnr,ssim
source_0,source_0_brightness-0.05.png,4.595581,27.669585719016894,0.09163112751864733,28.716690018095964,0.928262
source_0,source_0_brightness-0.2.png,20.615875,16.027055311160087,0.47253233846171694,28.86506097170305,0.6094738
source_0,source_0_brightness-0.3.png,33.276302,12.871134487758164,0.6894766520927329,28.988224121630562,0.38826206
source_0,source_0_brightness0.05.png,-11.4316635,28.531373484319552,-0.0663070363273951,29.39773049013678,0.9634926
source_0,source_0_brightness0.2.png,-66.10249,16.15598192625979,-0.1077328631666642,29.334716580032328,0.8099526
source_0,source_0_brightness0.3.png,-122.95035,12.75513165216937,-0.12280606618958234,27.653165980383836,0.71823657
source_1,source_1_brightness-0.05.png,5.925644,27.942335384992333,0.06975881267591066,27.792235165174645,0.9195135
source_1,source_1_brightness-0.2.png,33.323097,16.19285477158548,0.7452432224573892,28.06378397643545,0.46105462
source_1,source_1_brightness-0.3.png,53.974266,12.851256358773295,0.9586197701295002,28.111765688514893,0.27481005
source_1,source_1_brightness0.05.png,-12.731064,28.979191562875567,-0.05755009199049954,28.67726327371964,0.965777
source_1,source_1_brightness0.2.png,-64.12433,16.84662079938861,-0.11500749051611081,28.697903563793222,0.7705067
source_1,source_1_brightness0.3.png,-113.33615,13.669729448523002,-0.12571637005266678,27.43505312316013,0.65178984
source_2,source_2_brightness-0.05.png,4.2802124,26.55999698920827,0.024591312890067663,27.62710388989472,0.96669346
source_2,source_2_brightness-0.2.png,17.947937,14.828923292426243,0.23748857168082016,28.833321394714737,0.75380933
source_2,source_2_brightness-0.3.png,30.362366,11.424051669997253,0.4785544924616262,29.054249474771183,0.57796276
source_2,source_2_brightness0.05.png,-1.197998,27.62008928666628,-0.03944379261921771,28.62070876348922,0.98027945
source_2,source_2_brightness0.2.png,0.34970093,15.847415747446112,-0.04500757874116523,29.10948809045461,0.85307515
source_2,source_2_brightness0.3.png,4.0730896,12.93765132146026,-0.01417091289736283,27.89953108231682,0.74371916
source_3,source_3_brightness-0.05.png,-1.1306539,26.282995423121484,-0.03198779924297257,26.26946666858686,0.99339586
source_3,source_3_brightness-0.2.png,-1.7651029,14.483936788470169,-0.058332613821000634,28.24110534522546,0.88987494
source_3,source_3_brightness-0.3.png,-2.1552224,10.978611969848345,-0.047221858250357074,28.58934358072602,0.72193503
source_3,source_3_brightness0.05.png,-1.2886133,27.041711994952486,-0.03242720612825023,27.002823115473362,0.9949058
source_3,source_3_brightness0.2.png,-2.7491984,14.77937379843721,-0.05642035277347979,28.180527429288503,0.9414826
source_3,source_3_brightness0.3.png,-3.7326303,11.584496133183862,-0.030847272661672975,27.26123880852907,0.87665343
source_4,source_4_brightness-0.05.png,-0.009348869,28.893321751718073,-0.0047117595969077275,29.362954374793535,0.99638283
source_4,source_4_brightness-0.2.png,0.92871284,17.150912971319016,0.0026775267391651036,30.220236173110095,0.96194303
source_4,source_4_brightness-0.3.png,1.5445032,13.635779692967382,0.01145031900383553,29.76452653586845,0.9082343
source_4,source_4_brightness0.05.png,-0.7194624,30.33421260695851,-0.006014171924046852,32.017102229141386,0.99458325
source_4,source_4_brightness0.2.png,-0.9749327,18.64533775021177,-0.0031150906601937756,31.2950206262579,0.9722604
source_4,source_4_brightness0.3.png,-1.3359938,15.615561141944347,-0.0022465936143899468,30.970551625328277,0.96567273
source_5,source_5_brightness-0.05.png,-0.16198349,26.618165992696735,0.0186558138014149,27.79450122052628,0.956623
source_5,source_5_brightness-0.2.png,2.056448,15.02614279471083,0.13223166580259177,29.065717376018227,0.82013243
source_5,source_5_brightness-0.3.png,4.913685,11.746662812721215,0.2938303967117226,29.047589220473036,0.68415105
source_5,source_5_brightness0.05.png,-2.649538,27.38934163102782,-0.04067003309436257,28.662692863599652,0.9793176
source_5,source_5_brightness0.2.png,-10.455561,15.181522127364254,-0.05964391561978044,29.037692595987913,0.88999647
source_5,source_5_brightness0.3.png,-18.527891,11.923346481450004,-0.03384459049056676,27.83277995303123,0.82660615
source_6,source_6_brightness-0.05.png,-0.1768074,26.166513508717763,-0.017100509814113263,26.370510976413367,0.9964778
source_6,source_6_brightness-0.2.png,2.911602,14.369975658023703,-0.03698609018747684,28.551850021436383,0.9706824
source_6,source_6_brightness-0.3.png,5.59116,10.852641510654157,-0.02006890680946316,28.37456741905706,0.93116194
source_6,source_6_brightness0.05.png,11.499435,29.79898666374284,0.010612458260567892,36.164924060580155,0.9638155
source_6,source_6_brightness0.2.png,18.685593,22.371354993146646,0.013888406266347242,36.130355374620606,0.9372949
source_6,source_6_brightness0.3.png,22.100388,20.32890372435689,0.01403104009060202,36.021926229999536,0.9308327
source_7,source_7_brightness-0.05.png,1.2468262,26.51303243174568,-0.010625161636852232,27.03357162906255,0.9886909
source_7,source_7_brightness-0.2.png,12.338821,14.693495682930006,0.015598071585884998,27.861791890983397,0.7967762
source_7,source_7_brightness-0.3.png,18.243729,11.235871936334902,0.044203825659187346,28.911040337633853,0.48498264
source_7,source_7_brightness0.05.png,-4.313751,27.253835676265574,-0.015057882656135169,27.8217537392589,0.99246407
source_7,source_7_brightness0.2.png,-14.264832,14.780633038252693,-0.028554796137654437,28.156633671630836,0.9219207
source_7,source_7_brightness0.3.png,-21.011032,11.28233115242531,-0.03718757566951503,27.434127652564257,0.8608841
source_8,source_8_brightness-0.05.png,-0.3247795,26.258901594779967,-0.004107438248154904,26.36649870096397,0.99558556
source_8,source_8_brightness-0.2.png,1.7279205,14.474931223076071,-0.02258447953892745,28.50184156404659,0.96090674
source_8,source_8_brightness-0.3.png,4.0780125,11.008809813128693,0.003437750575210563,28.406683183557636,0.9186955
source_8,source_8_brightness0.05.png,5.811445,29.41074217935566,-0.005388155350287915,36.86530682668948,0.9769926
source_8,source_8_brightness0.2.png,10.271425,19.555589310672577,-0.005068158465674044,36.85621222326872,0.9606955
source_8,source_8_brightness0.3.png,12.829145,16.962426647117095,-0.005068158465674044,36.44877106895808,0.9540032
